state,area sq mi
Kansas,82282
California,163707
New Jersey,8722
Wyoming,97818
West Virginia,24231
Idaho,83574
Nebraska,77358
Kentucky,40411
Utah,84904
Iowa,56276
North Dakota,70704
New Hampshire,9351
District of Columbia,68
Montana,147046
Louisiana,51843
Nevada,110567
Missouri,69709
Georgia,59441
Oregon,98386
New Mexico,121593
South Dakota,77121
Wisconsin,65503
Maine,35387
Connecticut,5544
Illinois,57918
Ohio,44828
Indiana,36420
Vermont,9615
Massachusetts,10555
Florida,65758
Alaska,656425
North Carolina,53821
Michigan,96810
Maryland,12407
Alabama,52423
Oklahoma,69903
Washington,71303
Virginia,42769
New York,54475
Tennessee,42146
Colorado,104100
Puerto Rico,3515
South Carolina,32007
Mississippi,48434
Hawaii,10932
Arkansas,53182
Rhode Island,1545
Arizona,114006
Minnesota,86943
Pennsylvania,46058
Texas,268601
Delaware,1954
