region,ages,year,population
CA,total,2006,36021202
NM,total,2001,1831690
PR,total,1995,NaN
LA,under18,2003,1188070
NC,total,2002,8326201
ND,total,1994,644806
ND,under18,2009,148674
MT,total,2009,983982
KS,under18,2008,714689
WV,under18,2006,390637
MT,under18,1993,234987
RI,total,2004,1074579
OR,total,1996,3247111
MA,under18,2006,1450202
NY,under18,1997,4670787
NC,under18,2008,2252101
ID,under18,1998,362189
PA,total,2006,12510809
AL,under18,2010,1130966
MD,total,2002,5440389
WI,under18,2007,1348901
LA,under18,2002,1194819
OH,total,2007,11500468
GA,under18,2002,2249784
OR,total,2011,3867937
MT,total,1990,800204
USA,under18,1994,68640936
UT,under18,1991,637216
PR,under18,2001,1077566
ME,under18,1999,302321
AK,total,2000,627963
CT,total,2007,3527270
MD,total,1998,5204464
DC,total,2012,633427
VT,under18,2006,136731
CT,total,2013,3596080
UT,total,1994,1960446
IL,total,2002,12525556
KS,total,2006,2762931
NV,total,1996,1666320
UT,total,2008,2663029
CT,under18,2001,845850
USA,under18,1997,70920738
AR,total,2005,2781097
OR,under18,2001,848663
ND,total,1991,635753
AR,under18,1995,667671
IL,under18,1997,3222114
CA,total,2000,33987977
NE,total,2013,1868516
CO,total,1991,3387119
TN,total,2012,6454914
AL,total,2006,4628981
AK,total,1991,570193
UT,under18,2012,888578
NY,total,1994,18459470
RI,total,1998,1031155
ME,total,2010,1327366
WA,total,2013,6971406
OK,under18,2005,885316
AK,total,2009,698895
AR,total,2001,2691571
MS,total,1994,2688992
WV,total,1995,1823700
NM,total,2008,2010662
SC,under18,1999,1007050
PA,under18,1992,2873013
IN,under18,1994,1491802
WV,under18,2005,390431
PA,total,1995,12198403
VA,total,2011,8105850
ME,under18,2002,298595
DC,under18,1994,122170
DC,under18,1997,119531
MA,total,2005,6403290
CA,total,1991,30470736
WI,under18,2013,1307776
VT,total,2005,621215
NM,under18,2012,512314
NM,total,2005,1932274
SD,total,2004,770396
MO,under18,1995,1393554
AL,under18,2005,1117229
GA,under18,1996,1993171
DE,total,1994,717545
VA,under18,2007,1834386
WI,under18,2005,1349866
OK,under18,2009,922711
LA,under18,1999,1227167
NE,total,1992,1611687
WY,total,1994,480283
SD,total,2011,823772
CA,total,1998,32987675
UT,total,2004,2401580
ID,under18,1995,349248
CA,under18,2011,9252336
ND,total,2006,649422
WY,under18,1993,137458
SC,under18,2013,1079798
AR,total,2004,2749686
MN,under18,2001,1291261
VA,under18,2011,1857585
OR,under18,1998,837928
ID,total,2011,1583930
WA,under18,2002,1517655
WA,under18,1991,1326527
DC,under18,2003,111403
NY,total,2011,19502728
OH,under18,1995,2879930
ME,total,2012,1328501
CA,total,1997,32486010
GA,total,2013,9992167
MN,under18,2011,1280424
UT,total,1998,2165961
GA,total,1992,6817203
AK,total,1999,624779
CT,under18,2004,848979
MD,under18,1991,1208898
VT,under18,2009,130450
VA,total,2003,7366977
WI,under18,1991,1314855
AR,total,1995,2535399
NH,under18,2007,300918
OR,total,2006,3670883
OK,under18,1996,887093
MS,total,1997,2777004
OH,under18,1999,2893270
ID,total,2001,1319962
MS,total,1993,2655100
DE,under18,2012,204586
MD,total,2013,5928814
NJ,total,2012,8867749
OK,total,2003,3504892
WA,total,2001,5985722
CA,total,2001,34479458
OH,total,1990,10864162
GA,total,1993,6978240
LA,under18,1998,1232984
NH,total,1997,1189425
PA,total,1994,12166050
MN,total,2010,5310337
UT,under18,1993,662968
NE,total,1993,1625590
AZ,total,2001,5273477
SC,under18,1991,936122
NE,total,1990,1581660
AL,under18,2004,1113662
KY,under18,1991,951512
KY,total,2013,4395295
SD,total,1990,697101
MN,total,1997,4763390
VA,under18,1994,1628711
NH,under18,2009,290850
PR,total,1994,NaN
WA,under18,1994,1409922
AR,under18,1999,681940
NM,under18,1993,487742
MA,total,1991,6018470
TX,total,2013,26448193
AL,total,2002,4480089
VA,total,1990,6216884
NC,total,1999,7949362
USA,total,2009,306771529
IN,total,2010,6489965
KY,under18,2003,998485
HI,under18,2013,307266
HI,total,1999,1210300
MN,under18,1992,1213068
ME,under18,2006,288945
DE,under18,2002,196946
AL,under18,1999,1121287
AZ,under18,2001,1399015
MS,total,2001,2852994
TX,total,2010,25245178
SD,total,2013,844877
ND,under18,2004,149128
LA,total,2013,4625470
PA,under18,2010,2785316
AR,total,2007,2848650
SC,under18,2012,1077455
KS,under18,1998,710402
MS,under18,2003,759447
MN,total,2001,4982796
WA,total,2005,6257305
UT,total,1995,2014179
SD,total,2001,757972
OK,total,2005,3548597
USA,total,2006,298379912
NY,under18,2010,4318033
AL,under18,1996,1112092
DE,under18,2003,198045
ME,total,2001,1285692
IL,total,1995,12008437
NY,under18,1992,4465539
IL,under18,2010,3122092
OH,under18,2007,2790347
WI,under18,2008,1345573
IA,total,2007,2999212
